game_id,week,home_points,away_points,pred_margin,sigma_m,p_ml_home,y_home_win,logloss,p_ml_home_raw
401539475,14,34,31,-13.649199778377401,12.014873932169863,1e-06,1.0,13.815510557964274,0.0825
401531924,13,35,21,-13.052281629684593,12.225261680320546,1e-06,1.0,13.815510557964274,0.13
401524031,7,48,20,-8.72276436643807,12.735984677391187,1e-06,1.0,13.815510557964274,0.25875
401525864,7,39,32,-9.417244585285793,15.11726668545477,1e-06,1.0,13.815510557964274,0.275
401524034,7,36,33,-13.579627924698434,14.305486075879486,1e-06,1.0,13.815510557964274,0.17
401525525,7,38,21,-17.3388125181379,12.402590218151595,1e-06,1.0,13.815510557964274,0.0875
401531928,13,52,44,-12.236223966973036,7.887411940876527,1e-06,1.0,13.815510557964274,0.0525
401532415,6,37,13,-11.663120408713143,12.592911566936356,1e-06,1.0,13.815510557964274,0.19375
401525439,6,33,20,-9.6525167696171,11.494990133264325,1e-06,1.0,13.815510557964274,0.22125
401525857,6,29,21,-12.412346884276687,10.067565039263876,1e-06,1.0,13.815510557964274,0.095
