game_id,mu_t14,sigma_t14,p_t14,mu_ch,sigma_ch,p_ch,d_mu,d_sigma,d_p,tier_t14,tier_ch
401629032,12.074853049541447,19.659512166509018,0.8090013867561499,7.265880318757787,17.576717807677156,0.7436128906192598,4.80897273078366,2.082794358831862,0.06538849613689002,clear_lean,clear_lean
401628495,19.259939663990643,21.056331469115836,0.8686795973877985,10.634548527329272,16.492101826225714,0.8049462474925826,8.62539113666137,4.564229642890123,0.06373334989521595,strong_lean,clear_lean
401643793,34.00448342489317,21.889738003278676,0.9601156166165008,20.14125755623965,17.570703682961508,0.9169163544798762,13.863225868653522,4.319034320317169,0.04319926213662462,strong_lean,strong_lean
401641025,31.155447592403444,21.965432409423688,0.9491252582532178,21.899534574772815,17.365267314956558,0.9413709361352247,9.255913017630629,4.60016509446713,0.0077543221179930955,strong_lean,strong_lean
401628376,8.951094005428523,19.13321115740037,0.7494885384937547,5.331624659837931,14.530143021413927,0.7275412316632937,3.619469345590592,4.603068135986444,0.02194730683046109,clear_lean,clear_lean
401645337,10.244726811565005,21.05662875712576,0.758932589989316,0.4385137930622756,19.71380960928241,0.5631085226334283,9.80621301850273,1.3428191478433504,0.19582406735588775,clear_lean,toss_up
401644738,11.359798766919631,19.268369012312295,0.7908452980891977,11.077112156427678,18.81690410580232,0.791283013514219,0.28268661049195387,0.45146490650997606,0.00043771542502135663,clear_lean,clear_lean
401640981,18.864927897897452,17.780024304459232,0.9024956790258618,10.921290528163189,16.77888696399787,0.8065886705791567,7.9436373697342635,1.0011373404613622,0.09590700844670508,strong_lean,clear_lean
401645335,42.32700813130851,18.874225574288943,0.9934179354689332,5.580494831448425,22.472139718964765,0.6834308030138841,36.746513299860084,3.5979141446758227,0.30998713245504905,strong_lean,lean
401628378,38.13743376645451,22.139164939585623,0.9706673179387815,33.35931626019537,18.067180114325065,0.9830789629472316,4.778117506259136,4.071984825260557,0.012411645008450156,strong_lean,strong_lean
401643796,12.006874748181643,18.5221585076397,0.815035375513172,12.661300845779403,17.232615532498485,0.8481980870969777,0.65442609759776,1.289542975141213,0.03316271158380579,clear_lean,clear_lean
401635561,17.690569252497568,18.93881629500912,0.8775276856810439,20.933845644813687,20.73653064474171,0.8855864973494076,3.243276392316119,1.7977143497325905,0.008058811668363752,strong_lean,strong_lean
401635565,43.21858800129666,21.400116606795603,0.9872344939873532,12.086610588500486,19.67728657657183,0.808072927473201,31.131977412796175,1.722830030223772,0.17916156651415216,strong_lean,clear_lean
401643720,10.675550094960418,19.06623771344927,0.784668794381549,-2.3375872207970154,18.091706673919887,0.47226448561707457,13.013137315757433,0.9745310395293814,0.31240430876447445,clear_lean,toss_up
401635563,15.576300464435075,19.439347401825945,0.845986269782572,8.757687010101524,19.151760960621992,0.7471099929180622,6.818613454333551,0.2875864412039526,0.09887627686450973,clear_lean,clear_lean
401628373,9.413927269355689,20.03191312429128,0.7494896950005532,8.843021697901337,17.54248922411494,0.7597984960648052,0.5709055714543521,2.4894239001763374,0.010308801064252027,clear_lean,clear_lean
401635564,-5.411311329511328,19.110894246852496,0.37110329864561276,-8.70209376887271,16.940888355290323,0.2529159256081499,3.290782439361381,2.170005891562173,0.11818737303746285,lean,clear_lean
401628501,-2.9653273721621565,17.72400556613527,0.43641818579402913,-5.505683030872084,18.37436080697929,0.3578625524381347,2.5403556587099274,0.6503552408440214,0.07855563335589444,toss_up,lean
401643718,4.402984570229812,21.45639076347879,0.6754639777617608,-7.0010138717256325,20.51966770992644,0.33298436557013145,11.403998441955444,0.936723053552349,0.34247961219162937,lean,lean
